subsidiarynumber;vat;name;adprotected;startdate;enddate
1018764691;14340637;"Bager From Rosengårdcentret";0;2013-09-18;
1016608528;33492715;"KONDITOR BAGER BORNHOLM A/S";0;2011-01-27;
1024971925;14523391;"Fruens Vilje højer";1;2019-01-01;
1025108635;40842373;"Pakitas kager";1;2019-10-07;
1025769348;18128748;"Bageriet Kock";0;2020-05-01;
1004435228;20676388;"Bager Mortensen";0;1998-02-01;
1024787806;21662291;"Brød&kage til fest";1;2019-06-17;
1004736093;21156833;"KONGEVEJSCENTERETS BAGERI V/CARSTEN THOMSEN";0;1998-10-01;
1023735918;39671395;"Højene Bageri ApS";0;2018-06-20;
1009369372;26814677;"Othellobageriet v/Torben Kjeldal Jeppesen";0;2002-10-15;
1015886974;30846222;Kageriget;0;2010-03-03;
1000043895;10254736;"PETER RASK";0;1986-06-19;
1018905155;35318291;"Bakkegårdens Bageri";0;2014-01-01;
1024233258;40109269;"Dannebrød ApS";1;2018-12-17;
1026252942;41631899;"ÆRLIGT BIRKERØD";1;2020-09-12;
1012981194;30161963;"Bager Birk v/Bjarne Frimer Jensen";0;2007-02-01;
1000408710;12570201;"Finn's Bageri";0;1989-01-01;
1003907838;19634078;"BAGERIET MAX V/JESPER SANDER";0;1997-01-15;
1008217579;25431944;"Prinsessens Lækre Bag ApS";0;2000-06-07;
1025373843;41039981;COSE;0;2020-01-01;
1021812893;27314147;ByensBager;1;2016-10-04;
1024848201;40639314;"Bikuben Bazar ApS";0;2019-06-21;
1005001284;21530271;"OUTRUP BAGERI I/S";0;1999-04-01;
1018089544;65944316;"Højby Bageri";0;2012-10-01;
1009153671;26646243;"Dons Brød v/Abdel Ilah Alfartoussi";0;2002-06-20;2020-12-08
1026049063;41530588;"DHSC-Foodcompany ApS";1;2020-07-17;
1020882421;14699082;"Holms Bager";1;2015-11-25;
1022892122;33492715;"Konditorbager ASA";0;2017-10-01;
1000747258;26052890;"Høyers Konditori & Cafe/ Tommy Digemose";0;1973-06-25;
1013089554;30289072;"Konditor Bager Haarby Bageri v/Allan Kjær Ringe";0;2007-04-01;
1018389505;20213094;"Lagkagehuset - 801 Aarhus";0;2013-04-08;
1025008649;32274579;"Sweet Valentine";1;2019-09-09;
1024745046;38411675;"Fru Bak's Småkager";1;2019-05-29;
1015507132;32449182;"VESTEGNENS BAZAR S.M.B.A";0;2009-09-01;
1003400904;63504416;"Hillerød Tekniske Skole, UNord S/I";0;2000-01-01;
1017146226;20213094;"Lagkagehuset - 241 Nørrebro";0;2011-09-23;
1024448238;40294368;"KB - Vejen 25-02-19 ApS";1;2019-02-25;
1010778782;28112483;"Choko Choko Yeah ApS";0;2004-09-06;
1023888463;18543095;"Svinninge Bageri, Nygade 2, 4300 Holbæk.";1;2018-08-23;
1022913332;31262208;"grannys house";1;2017-10-10;
1023392131;39373181;"Cafe Si IVS";0;2018-02-22;
1012756298;28669127;"KONDITORBAGER RØDOVRE ApS";0;2006-11-08;
1021075937;37384143;"PISTORIA APS";0;2016-01-20;
1007698786;25435079;"Madsens Bageri V/Ulrik Madsen";0;2000-07-01;
1024732149;33150113;"Mad & Brød Horsens";0;2019-06-01;
1004953979;21467782;"NYTORVS BAGERI APS";0;1999-01-26;
1018788221;35373748;"Brødstedet v/ Erik Hinrichsen";1;2013-11-01;
1019578816;28504462;"FARUMHUS A/S";0;2014-05-01;
1016724560;10521815;"Zealand Business College";0;2011-03-16;
1002348616;71615812;"OTHELLO BAGERIET V/PER KROGH JOHANSEN";0;1994-05-20;
1021666978;37912603;"Heros Hjemmebag";0;2016-08-15;
1014353735;31371759;"EJVINDS SØNDERVIG ApS";0;2008-04-11;
1024219255;40097376;"Bagerbutikken Hammel IVS";1;2018-12-03;
1021383275;37603139;"Engparkens Bageri";0;2016-04-08;
1022731358;38831364;Ostekagehuset;1;2017-08-01;
1024272539;40144420;"NC Foods ApS";0;2019-01-07;
1020725393;33031858;"KonditorBager Virklund";1;2015-09-01;
1012793304;21456373;"Frederic Terrible v/Frederic Daniel André Terrible";0;2006-11-03;
1008520816;26107636;"DET RENE BRØD, FREDERIKSBERG ApS";0;2001-07-01;
1023941054;34337039;"Cake Creations DK";1;2018-09-10;
1004317595;20458984;"City Bakery ApS";0;1997-07-01;
1016798076;33596707;"JENSENS BAGERI ApS";0;2011-03-31;
1022569194;38740024;"Hammershus Bageri ApS";1;2017-06-21;
1022769088;38834185;"KonditorBager Storegade ApS";0;2017-08-01;
1026192680;20966475;JensensBakery.dk;1;2020-08-27;
1022940895;28504462;"FARUMHUS A/S";0;2017-10-20;
1004802625;21255734;"BAUNS BAGERI APS";0;1998-06-03;
1000415613;69650112;"BYTORVETS BAGERI V/BAGERMESTER KIM AGERSKOV";1;1989-01-15;
